RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_PUPIL	TRIAL_INDEX	button_RT	button_pressed	combined_cs_status	comp_q	cs_word	cs_word_char_position	cs_word_length	cs_word_or_combo	cs_word_or_combo_char_position	cs_word_or_combo_length	cs_word_or_combo_word_position	cs_word_word_position	cword	cword_char_position	cword_length	cword_word_position	e_status	exp_button	exp_response	frame_cword_space	item_num	lang	list.x	p_status	pre_cs_word_frame_space	pre_cs_word_or_combo_space	pre_cword_frame_space	response_accuracy	sent	sent_length_words	taboo_status	SINGLE_FIXATION_DURATION	FIRST_FIXATION_DURATION	GAZE_DURATION	REGRESSION_PATH_DURATION	REREADING_DURATION	TOTAL_DURATION	FIRST_PASS_REGRESSION	FIRST_PAST_FIXATION	list.y	Lang_order	DELE	MELICET	dominance	FIRST_FIXATION_DURATION_SC	TOTAL_DURATION_SC	GAZE_DURATION_SC	dominance_SC	dom_cat
3	FALSE	501	66	1483	Up	n	¿Carlos dio la vuelta?	ella	30	4	ella	30	4	6	6	erección	48	8	1	e	Up	y	"Cuando Carlos dio la vuelta, ella podía ver su erección"	23	Spa	3	s	"Cuando Carlos dio la vuelta,"	"Cuando Carlos dio la vuelta,"	"Cuando Carlos dio la vuelta, ella podía ver su"	correct	"Cuando Carlos dio la vuelta, ella podía ver su erección a través de su ropa."	15	taboo	0	239	467	467	0	1011	0	1	3	E2_SCS2	30	46	0.652173913	0.722864673	1.754608023	1.249337178	-0.616165301	L
3	FALSE	473	67	1238	Down	n	¿Estaban tranquilos?	and	15	3	and	15	3	3	3	Asshole	29	7	1	e	Down	n	"Se detuvieron and shouted: \Asshole"""	21	CS	3	s	Se detuvieron	Se detuvieron	Se detuvieron and shouted:	correct	"Se detuvieron and shouted: \Asshole, move out of the way\"" \"".\"""""	10	taboo	.	0	0	0	.	0	.	0	3	E2_SCS2	30	46	0.652173913	-0.829979131	-0.831205837	-0.78422069	-0.616165301	L
3	FALSE	531	69	2095	Up	n	¿Los niños comienzan a hablar de esto muy temprano?	start	11	5	start	11	5	3	3	politics	31	8	1	e	Up	y	Los niños start talking about politics	20	CS	3	s	Los niños	Los niños	Los niños start talking about	correct	Los niños start talking about politics very early these days.	10	neut	160	160	160	160	0	160	0	1	3	E2_SCS2	30	46	0.652173913	0.209581575	-0.421977135	-0.087498508	-0.616165301	L
3	FALSE	495	74	6556	Up	n	¿Es este un problema in cities?	that	15	4	that	15	4	3	3	education	20	9	1	e	Down	n	Lei somewhere that education	2	CS	3	s	Lei somewhere	Lei somewhere	Lei somewhere that	incorrect	Lei somewhere that education is a big problem in small communities.	11	neut	96	96	96	96	0	263	0	1	3	E2_SCS2	30	46	0.652173913	-0.206242708	-0.158536158	-0.366187381	-0.616165301	L
3	FALSE	465	76	1932	Down	n	¿Invitó a la persona por correo electrónico?	invitó	42	6	invitó	42	6	9	9	zorra	55	5	1	e	Down	n	"Ayer por la noche, por mensaje de texto, invitó a esa zorra"	41	Spa	3	s	"Ayer por la noche, por mensaje de texto,"	"Ayer por la noche, por mensaje de texto,"	"Ayer por la noche, por mensaje de texto, invitó a esa"	correct	"Ayer por la noche, por mensaje de texto, invitó a esa zorra a su lugar a cenar."	17	taboo	184	184	184	184	0	184	0	1	3	E2_SCS2	30	46	0.652173913	0.36551568	-0.36059283	0.017009819	-0.616165301	L
3	FALSE	553	77	2157	Up	n	¿Dijo el niño esto?	said	9	4	said	9	4	3	3	pussy	15	5	1	e	Up	y	El niño said pussy	9	CS	3	s	El niño	El niño	El niño said	correct	El niño said pussy in front of everyone.	8	taboo	.	0	0	0	.	0	.	0	3	E2_SCS2	30	46	0.652173913	-0.829979131	-0.831205837	-0.78422069	-0.616165301	L
3	FALSE	637	83	1842	Down	n	¿Se lastimó el invierno pasado?	she	19	3	she	19	3	4	4	thumb	32	5	1	e	Down	n	"El verano pasado, she hurt her thumb"	8	CS	3	s	"El verano pasado,"	"El verano pasado,"	"El verano pasado, she hurt her"	correct	"El verano pasado, she hurt her thumb trying to get on a horse."	13	neut	180	180	180	180	0	180	0	1	3	E2_SCS2	30	46	0.652173913	0.339526663	-0.370823547	-0.000408236	-0.616165301	L
3	FALSE	453	91	2626	Down	n	¿Ocurrió esto en la mañana?	the other	26	9	the other	26	9	6	6	sandwich	51	8	1	e	Down	n	"Cuando regrese a mi casa the other night, I had a sandwich"	38	CS	3	s	Cuando regrese a mi casa	Cuando regrese a mi casa	"Cuando regrese a mi casa the other night, I had a"	correct	"Cuando regrese a mi casa the other night, I had a sandwich on the couch."	15	neut	0	184	340	340	0	340	0	1	3	E2_SCS2	30	46	0.652173913	0.36551568	0.038405155	0.696313946	-0.616165301	L
3	FALSE	689	92	3271	Down	y	¿Estaba la persona adolorida después del trabajo?	massaged	30	8	he massaged	27	11	5	6	butt	42	4	1	e	Up	y	"Cuando volví del trabajo, he massaged my butt"	45	CS	3	s	"Cuando volví del trabajo, he"	"Cuando volví del trabajo,"	"Cuando volví del trabajo, he massaged my"	incorrect	"Cuando volví del trabajo, he massaged my butt before we went to bed."	13	taboo	0	168	550	550	0	550	0	1	3	E2_SCS2	30	46	0.652173913	0.26155961	0.575517826	1.610761809	-0.616165301	L
3	FALSE	467	99	3072	Down	y	¿Lo encontraron en una fuente?	found	34	5	they found	29	10	6	7	tooth	42	5	1	e	Down	n	"A principio de este verano, they found a tooth"	44	CS	3	s	"A principio de este verano, they"	"A principio de este verano,"	"A principio de este verano, they found a"	correct	"A principio de este verano, they found a tooth in the showers at the waterpark."	15	neut	.	0	0	0	.	0	.	0	3	E2_SCS2	30	46	0.652173913	-0.829979131	-0.831205837	-0.78422069	-0.616165301	L
3	FALSE	527	100	1266	Up	n	¿Viajó mucho en sus veintes?	cuando	22	6	cuando	22	6	5	5	prostituta	44	10	1	e	Up	y	Mi amiga viajó mucho cuando trabajaba como prostituta	47	Spa	3	s	Mi amiga viajó mucho	Mi amiga viajó mucho	Mi amiga viajó mucho cuando trabajaba como	correct	Mi amiga viajó mucho cuando trabajaba como prostituta en sus veintes.	11	taboo	232	232	232	232	0	232	0	1	3	E2_SCS2	30	46	0.652173913	0.677383892	-0.237824219	0.226026473	-0.616165301	L
3	FALSE	549	101	2088	Down	n	¿Es el producto para la skin?	for	15	3	for	15	3	4	4	vagina	39	6	1	e	Up	y	Vi un anuncio for a new cream for the vagina	3	CS	3	s	Vi un anuncio	Vi un anuncio	Vi un anuncio for a new cream for the	incorrect	Vi un anuncio for a new cream for the vagina so that it doesn't itch.	15	taboo	220	220	220	220	0	555	0	1	3	E2_SCS2	30	46	0.652173913	0.599416839	0.588306223	0.17377231	-0.616165301	L
3	FALSE	578	27	1837	Up	y	¿Estuvo cerca?	would	36	5	I would	34	7	7	8	orgy	58	4	1	e	Up	y	"Si no tuviera tareas para hacer, I would have gone to an orgy"	39	CS	3	s	"Si no tuviera tareas para hacer, I"	"Si no tuviera tareas para hacer,"	"Si no tuviera tareas para hacer, I would have gone to an"	correct	"Si no tuviera tareas para hacer, I would have gone to an orgy that was nearby."	16	taboo	196	196	196	196	0	196	0	1	3	E2_SCS2	30	46	0.652173913	0.443482733	-0.329900677	0.069263983	-0.616165301	L
3	FALSE	479	28	2367	Up	n	¿Hubo muchos de ellos?	señaló	29	6	señaló	29	6	6	6	penes	72	5	1	e	Up	y	El guía turístico del museo señaló cómo sus pinturas estaban llenas de penes	5	Spa	3	s	El guía turístico del museo	El guía turístico del museo	El guía turístico del museo señaló cómo sus pinturas estaban llenas de	correct	El guía turístico del museo señaló cómo sus pinturas estaban llenas de penes al comienzo de su carrera.	18	taboo	0	190	333	333	0	333	0	1	3	E2_SCS2	30	46	0.652173913	0.404499207	0.020501399	0.665832351	-0.616165301	L
3	FALSE	492	32	3098	Up	n	¿Leyó el consejos en línea?	algunos	10	7	algunos	10	7	3	3	discursos	36	9	1	e	Up	y	He leído algunos consejos para dar discursos	34	Spa	3	s	He leído	He leído	He leído algunos consejos para dar	correct	He leído algunos consejos para dar discursos en Internet.	9	neut	208	208	208	208	0	718	0	1	3	E2_SCS2	30	46	0.652173913	0.521449786	1.005207963	0.121518146	-0.616165301	L
3	FALSE	492	34	1179	Down	n	¿Lo estaban vendiendo?	vi	34	2	vi	34	2	6	6	agua	63	4	1	e	Down	n	"Mientras caminaba por el campus, vi que estaban distribuyendo agua"	40	Spa	3	s	"Mientras caminaba por el campus,"	"Mientras caminaba por el campus,"	"Mientras caminaba por el campus, vi que estaban distribuyendo"	correct	"Mientras caminaba por el campus, vi que estaban distribuyendo agua a los estudiantes en la plaza."	16	neut	0	151	333	333	0	333	0	1	3	E2_SCS2	30	46	0.652173913	0.151106285	0.020501399	0.665832351	-0.616165301	L
3	FALSE	550	9	1759	Down	n	¿Era rico después de la universidad?	donó	28	4	donó	28	4	5	5	plasma	33	6	1	e	Down	n	"Después de la universidad, donó plasma"	46	Spa	3	s	"Después de la universidad,"	"Después de la universidad,"	"Después de la universidad, donó"	correct	"Después de la universidad, donó plasma para ganar dinero extra."	10	neut	0	207	604	604	0	604	0	1	3	E2_SCS2	30	46	0.652173913	0.514952532	0.713632513	1.845905546	-0.616165301	L
3	FALSE	619	10	3819	Up	n	¿Tuvo un trastorno compulsivo?	lavó	16	4	lavó	16	4	4	4	ano	24	3	1	e	Up	y	Mi mejor amigo lavó su ano	17	Spa	3	s	Mi mejor amigo	Mi mejor amigo	Mi mejor amigo lavó su	correct	Mi mejor amigo lavó su ano compulsivamente en la universidad	10	taboo	315	315	315	315	0	315	0	1	3	E2_SCS2	30	46	0.652173913	1.216656008	-0.02553683	0.587451105	-0.616165301	L
3	FALSE	545	12	2353	Down	n	¿Ocurrió esto después del gimnasio?	ella	24	4	ella	24	4	5	5	máscara	45	7	1	e	Down	n	"Después de la reunión, ella se inclinó y su máscara"	28	Spa	3	s	"Después de la reunión,"	"Después de la reunión,"	"Después de la reunión, ella se inclinó y su"	correct	"Después de la reunión, ella se inclinó y su máscara cayó de su bolso."	14	neut	0	231	428	428	0	865	0	1	3	E2_SCS2	30	46	0.652173913	0.670886638	1.381186833	1.079511146	-0.616165301	L
3	FALSE	622	7	2411	Down	n	¿Alguien escribió en la pared al lado de la iglesia?	somebody	15	8	somebody	15	8	4	4	whore	31	5	1	e	Down	n	"El año pasado somebody wrote \whore\"""""	27	CS	3	s	El año pasado	El año pasado	El año pasado somebody wrote	correct	"El año pasado somebody wrote \whore\"" on the wall next to the bank."""	13	taboo	174	174	174	174	0	316	0	1	3	E2_SCS2	30	46	0.652173913	0.300543136	-0.022979151	-0.026535317	-0.616165301	L
3	FALSE	499	18	4569	Up	n	¿El hombre hizo esto en público?	mostró	14	6	mostró	14	6	4	4	arte	24	4	1	e	Up	y	Un hombre le mostró su arte	16	Spa	3	s	Un hombre le	Un hombre le	Un hombre le mostró su	correct	Un hombre le mostró su arte en la calle.	9	neut	54	54	54	54	0	192	0	1	3	E2_SCS2	30	46	0.652173913	-0.479127393	-0.340131395	-0.549076954	-0.616165301	L
4	FALSE	1170	16	1658	Up	n	¿Tuvo un trastorno compulsivo?	lavó	16	4	lavó	16	4	4	4	cara	24	4	1	e	Up	y	Mi mejor amigo lavó su cara	17	Spa	4	s	Mi mejor amigo	Mi mejor amigo	Mi mejor amigo lavó su	correct	Mi mejor amigo lavó su cara compulsivamente en la universidad.	10	neut	143	143	143	143	0	143	0	1	4	E2_SCS2	27	47	0.574468085	0.09912825	-0.465457685	-0.16152524	-0.967222487	L
4	FALSE	1098	10	1749	Up	n	¿Leyó sobre esto ayer?	leí	13	3	leí	13	3	3	3	violación	27	9	1	e	Down	n	Esta mañana leí sobre una violación	6	Spa	4	s	Esta mañana	Esta mañana	Esta mañana leí sobre una	incorrect	Esta mañana leí sobre una violación que sucedió ayer en nuestro ciudad.	12	taboo	.	0	0	0	.	323	.	0	4	E2_SCS2	27	47	0.574468085	-0.829979131	-0.005075395	-0.78422069	-0.967222487	L
4	FALSE	1126	5	943	Down	y	Did they find it in a fountain?	found	27	5	they found	22	10	4	5	turd	35	4	1	e	Down	n	"Earlier this summer, they found a turd"	44	Eng	4	s	"Earlier this summer, they"	"Earlier this summer,"	"Earlier this summer, they found a"	correct	"Earlier this summer, they found a turd in the showers at the waterpark."	13	taboo	.	0	0	0	.	211	.	0	4	E2_SCS2	27	47	0.574468085	-0.829979131	-0.291535486	-0.78422069	-0.967222487	L
4	FALSE	1146	7	1156	Down	n	Did this happen when he returned from the lake?	from	18	4	from	18	4	4	4	hay	40	3	1	e	Down	n	"When he returned from the farm, he had hay"	7	Eng	4	s	When he returned	When he returned	"When he returned from the farm, he had"	correct	"When he returned from the farm, he had hay all over his pants."	13	neut	.	0	0	0	.	0	.	0	4	E2_SCS2	27	47	0.574468085	-0.829979131	-0.831205837	-0.78422069	-0.967222487	L
4	FALSE	1308	11	903	Down	n	Is this a problem in cities?	that	18	4	that	18	4	4	4	incest	23	6	1	e	Down	n	I read somewhere that incest	2	Eng	4	s	I read somewhere	I read somewhere	I read somewhere that	correct	I read somewhere that incest is a big problem in small communities.	12	taboo	163	163	163	163	0	163	0	1	4	E2_SCS2	27	47	0.574468085	0.229073338	-0.414304097	-0.074434967	-0.967222487	L
4	FALSE	1265	12	990	Down	y	Did this happen in the street?	heard	13	5	I heard	11	7	3	4	letter	43	6	1	e	Down	n	Last week I heard that Angela gave Juan a letter	37	Eng	4	s	Last week I	Last week	Last week I heard that Angela gave Juan a	correct	Last week I heard that Angela gave Juan a letter in the park.	13	neut	88	88	88	88	0	88	0	1	4	E2_SCS2	27	47	0.574468085	-0.258220743	-0.606130051	-0.40102349	-0.967222487	L
4	FALSE	1380	13	1672	Up	n	Do children start talking about this very early?	start	6	5	start	6	5	2	2	sex	26	3	1	e	Up	y	Kids start talking about sex	20	Eng	4	s	Kids	Kids	Kids start talking about	correct	Kids start talking about sex very early these days.	9	taboo	.	0	0	0	.	280	.	0	4	E2_SCS2	27	47	0.574468085	-0.829979131	-0.115055609	-0.78422069	-0.967222487	L
4	FALSE	1314	14	843	Up	n	Did the person see it on the cupboard?	we	15	2	we	15	2	4	4	quarter	45	7	1	e	Down	n	"In the hostel we were staying at, I found a quarter"	19	Eng	4	s	In the hostel	In the hostel	"In the hostel we were staying at, I found a"	incorrect	"In the hostel we were staying at, I found a quarter on the bed sheet."	15	neut	.	0	0	0	.	0	.	0	4	E2_SCS2	27	47	0.574468085	-0.829979131	-0.831205837	-0.78422069	-0.967222487	L
4	FALSE	1293	16	757	Down	n	Did they examine them at the doctor's office?	they	18	4	they	18	4	4	4	teeth	36	5	1	e	Down	n	"Today at school, they examined the teeth"	31	Eng	4	s	"Today at school,"	"Today at school,"	"Today at school, they examined the"	correct	"Today at school, they examined the teeth of the children at the annual health checkup."	15	neut	25	25	25	25	0	25	0	1	4	E2_SCS2	27	47	0.574468085	-0.667547771	-0.767263852	-0.675357849	-0.967222487	L
4	FALSE	1373	17	793	Up	n	Did her baby hurt her?	bit	10	3	bit	10	3	3	3	nipple	18	6	1	e	Up	y	Her baby bit her nipple	14	Eng	4	s	Her baby	Her baby	Her baby bit her	correct	Her baby bit her nipple and drew blood.	8	taboo	.	0	0	0	.	232	.	0	4	E2_SCS2	27	47	0.574468085	-0.829979131	-0.237824219	-0.78422069	-0.967222487	L
