"","part_item","RECORDING_SESSION_LABEL.x","word_order","use_rating","exposure_rating","offensiveness_rating","taboo_rating","valence_rating","arousal_rating","imagery_rating","critical_word","taboo_status.x","item_num.x","list.x","RECORDING_SESSION_LABEL.y","CURRENT_FIX_ADJUSTED","CURRENT_FIX_PUPIL","TRIAL_INDEX","button_RT","button_pressed","combined_cs_status","comp_q","cs_word","cs_word_char_position","cs_word_length","cs_word_or_combo","cs_word_or_combo_char_position","cs_word_or_combo_length","cs_word_or_combo_word_position","cs_word_word_position","cword","cword_char_position","cword_length","cword_word_position","e_status","exp_button","exp_response","frame_cword_space","item_num.y","lang","list.y","p_status","pre_cs_word_frame_space","pre_cs_word_or_combo_space","pre_cword_frame_space","response_accuracy","sent","sent_length_words","taboo_status.y","SINGLE_FIXATION_DURATION","FIRST_FIXATION_DURATION","GAZE_DURATION","REGRESSION_PATH_DURATION","REREADING_DURATION","TOTAL_DURATION","FIRST_PASS_REGRESSION","FIRST_PAST_FIXATION","Lang_order","DELE","MELICET","dominance","dom_cat","MeanTD","MeanGD","MeanFFD","sdTD","sdGD","sdFFD","seTD","seGD","seFFD"
"11","10_27",10,9,7,7,1,1,5,3,7,"boss","neut",27,4,10,FALSE,1115,78,1744,"Down","n","¿Alguien escribió en la pared al lado de la iglesia?","somebody",15,8,"somebody",15,8,4,4,"boss",31,4,6,"e","Down","n","El año pasado somebody wrote \boss\""""",27,"CS",4,"s","El año pasado","El año pasado","El año pasado somebody wrote","correct","El año pasado somebody wrote \boss\"" on the wall next to the bank.""",13,"neut",294,294,294,294,0,294,"0",1,"E1_SCS1",44,44,1,"High Sp Dom",394.1785714,272.9642857,231.797619,238.7911403,118.8763098,77.67398345,168.8508346,84.05824475,54.92380042
"12","10_28",10,10,9,7,1,8,7,3,9,"tampon","taboo",28,4,10,FALSE,1033,20,2922,"Down","n","¿Ocurrió esto después del gimnasio?","she",24,3,"she",24,3,5,5,"tampon",43,6,9,"e","Down","n","Después de la reunión, she leaned and her tampon",28,"CS",4,"s","Después de la reunión,","Después de la reunión,","Después de la reunión, she leaned and her","correct","Después de la reunión, she leaned and her tampon fell out of her bag.",14,"taboo",233,233,233,233,0,233,"0",1,"E1_SCS1",44,44,1,"High Sp Dom",487.7228916,303.8795181,254.4819277,305.6617896,157.5583823,107.3017584,216.1355241,111.4106006,75.87380099
"13","10_32",10,28,8,7,1,9,9,6,9,"condoms","taboo",32,4,10,FALSE,688,20,2440,"Up","n","Did a lot of them fall?","yesterday",25,9,"yesterday",25,9,7,7,"condoms",47,7,11,"e","Up","y","When I was in the store yesterday, a bunch of condoms",32,"Eng",4,"s","When I was in the store","When I was in the store","When I was in the store yesterday, a bunch of","correct","When I was in the store yesterday, a bunch of condoms fell from a shelf.",15,"taboo",232,232,232,232,0,781,"0",1,"E1_SCS1",44,44,1,"High Sp Dom",408.3956044,298.2967033,245.021978,245.8860567,142.9286142,89.44308905,173.8676981,101.0657924,63.2458148
"14","10_33",10,11,3,2,4,1,5,1,9,"coffee pots","neut",33,4,10,FALSE,1118,82,1555,"Up","n","¿Estaba la venta en una tienda grande?","that",14,4,"that",14,4,4,4,"coffee pots",28,11,7,"e","Up","y","Me di cuenta that they had coffee pots",33,"CS",4,"s","Me di cuenta","Me di cuenta","Me di cuenta that they had","correct","Me di cuenta that they had coffee pots on sale in that big store.",14,"neut",177,177,177,177,0,177,"0",1,"E1_SCS1",44,44,1,"High Sp Dom",394.1785714,272.9642857,231.797619,238.7911403,118.8763098,77.67398345,168.8508346,84.05824475,54.92380042
"15","10_37",10,29,9,8,1,1,9,5,6,"letter","neut",37,4,10,FALSE,808,33,1174,"Down","y","Did this happen in the street?","heard",13,5,"I heard",11,7,3,4,"letter",43,6,10,"e","Down","n","Last week I heard that Angela gave Juan a letter",37,"Eng",4,"s","Last week I","Last week","Last week I heard that Angela gave Juan a","correct","Last week I heard that Angela gave Juan a letter in the park.",13,"neut",209,209,209,209,0,209,"0",1,"E1_SCS1",44,44,1,"High Sp Dom",368.0549451,259.5384615,224.3076923,221.9729394,136.1135398,93.80744963,156.9585707,96.24680703,66.33188376
"16","10_38",10,30,7,7,1,9,9,9,8,"orgasm","taboo",38,4,10,FALSE,660,30,1574,"Down","n","Did this happen in the morning?","the other",17,9,"the other",17,9,5,5,"orgasm",43,6,11,"e","Down","n","When I got home the other night, I had an orgasm",38,"Eng",4,"s","When I got home","When I got home","When I got home the other night, I had an","correct","When I got home the other night, I had an orgasm on the couch.",14,"taboo",196,196,196,295,99,513,"1",1,"E1_SCS1",44,44,1,"High Sp Dom",408.3956044,298.2967033,245.021978,245.8860567,142.9286142,89.44308905,173.8676981,101.0657924,63.2458148
"17","10_39",10,13,4,5,1,1,9,9,9,"circus","neut",39,4,10,FALSE,897,43,902,"Up","y","¿Estuvo cerca?","would",36,5,"I would",34,7,7,8,"circus",57,6,13,"e","Up","y","Si no tuviera tareas para hacer, I would have gone to a circus",39,"CS",4,"s","Si no tuviera tareas para hacer, I","Si no tuviera tareas para hacer,","Si no tuviera tareas para hacer, I would have gone to a","correct","Si no tuviera tareas para hacer, I would have gone to a circus that was nearby.",16,"neut",215,215,215,215,0,215,"0",1,"E1_SCS1",44,44,1,"High Sp Dom",394.1785714,272.9642857,231.797619,238.7911403,118.8763098,77.67398345,168.8508346,84.05824475,54.92380042
"18","10_43",10,31,9,7,1,1,9,6,9,"belly","neut",43,4,10,FALSE,829,13,1307,"Up","n","Did they go on a date?","that",15,4,"that",15,4,4,4,"belly",29,5,8,"e","Up","y","I didnÆt know that he had a belly",43,"Eng",4,"s","I didnÆt know","I didnÆt know","I didnÆt know that he had a","correct","I didnÆt know that he had a belly that big until we went on a date.",16,"neut",203,203,203,203,0,203,"0",1,"E1_SCS1",44,44,1,"High Sp Dom",368.0549451,259.5384615,224.3076923,221.9729394,136.1135398,93.80744963,156.9585707,96.24680703,66.33188376
"19","10_44",10,32,3,6,2,7,2,2,9,"turd","taboo",44,4,10,FALSE,778,28,1484,"Down","y","Did they find it in a fountain?","found",27,5,"they found",22,10,4,5,"turd",35,4,7,"e","Down","n","Earlier this summer, they found a turd",44,"Eng",4,"s","Earlier this summer, they","Earlier this summer,","Earlier this summer, they found a","correct","Earlier this summer, they found a turd in the showers at the waterpark.",13,"taboo",265,265,265,265,0,265,"0",1,"E1_SCS1",44,44,1,"High Sp Dom",408.3956044,298.2967033,245.021978,245.8860567,142.9286142,89.44308905,173.8676981,101.0657924,63.2458148
"20","10_46",10,16,4,8,1,8,5,5,9,"sperm","taboo",46,4,10,FALSE,858,15,1147,"Down","y","¿Era rico después de la universidad?","donated",31,7,"he donated",28,10,5,6,"sperm",39,5,7,"e","Down","n","Después de la universidad, he donated sperm",46,"CS",4,"s","Después de la universidad, he","Después de la universidad,","Después de la universidad, he donated","correct","Después de la universidad, he donated sperm to make some extra cash.",12,"taboo",216,216,216,216,0,216,"0",1,"E1_SCS1",44,44,1,"High Sp Dom",487.7228916,303.8795181,254.4819277,305.6617896,157.5583823,107.3017584,216.1355241,111.4106006,75.87380099
"21","10_7",10,19,4,3,1,1,5,1,9,"hay","neut",7,4,10,FALSE,828,32,1584,"Down","n","Did this happen when he returned from the lake?","from",18,4,"from",18,4,4,4,"hay",40,3,9,"e","Down","n","When he returned from the farm, he had hay",7,"Eng",4,"s","When he returned","When he returned","When he returned from the farm, he had","correct","When he returned from the farm, he had hay all over his pants.",13,"neut",218,218,218,218,0,218,"0",1,"E1_SCS1",44,44,1,"High Sp Dom",368.0549451,259.5384615,224.3076923,221.9729394,136.1135398,93.80744963,156.9585707,96.24680703,66.33188376
"22","101_1",101,1,9,9,1,5,5,5,5,"horny","taboo",1,1,101,FALSE,966,8,4409,"Up","n","¿Ocurrió esto después del entrenamiento after the workout?","was",10,3,"was",10,3,3,3,"horny",19,5,5,"e","Up","y","Su novia was very horny",1,"CS",1,"s","Su novia","Su novia","Su novia was very","correct","Su novia was very horny after her usual workout in the morning.",12,"taboo",136,136,136,136,0,615,"0",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",487.7228916,303.8795181,254.4819277,305.6617896,157.5583823,107.3017584,216.1355241,111.4106006,75.87380099
"23","101_10",101,19,9,9,1,1,9,1,9,"legs","neut",10,1,101,FALSE,692,48,2804,"Up","n","Did he have freckles?","that",19,4,"that",19,4,5,5,"legs",51,4,12,"e","Up","y","My friend told me that he has had freckles on his legs",10,"Eng",1,"s","My friend told me","My friend told me","My friend told me that he has had freckles on his","correct","My friend told me that he has had freckles on his legs since he was a child.",17,"neut",215,215,215,576,361,215,"1",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",368.0549451,259.5384615,224.3076923,221.9729394,136.1135398,93.80744963,156.9585707,96.24680703,66.33188376
"24","101_11",101,20,9,9,1,5,5,5,9,"piss","taboo",11,1,101,FALSE,588,36,5150,"Down","n","Did they smell like that during the film festival?","smelled",13,7,"smelled",13,7,3,3,"piss",24,4,5,"e","Down","n","The streets smelled of piss",11,"Eng",1,"s","The streets","The streets","The streets smelled of","correct","The streets smelled of piss during the spring festival.",9,"taboo",366,366,366,366,0,366,"0",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",408.3956044,298.2967033,245.021978,245.8860567,142.9286142,89.44308905,173.8676981,101.0657924,63.2458148
"25","101_13",101,5,5,9,1,9,9,1,9,"masturbation","taboo",13,1,101,FALSE,777,21,3110,"Down","n","¿Fue adicto durante 5 años?","was",19,3,"was",19,3,5,5,"masturbation",35,12,8,"e","Down","n","En el colegio, he was addicted to masturbation",13,"CS",1,"s","En el colegio, he","En el colegio, he","En el colegio, he was addicted to","correct","En el colegio, he was addicted to masturbation for three years.",11,"taboo",174,174,174,372,198,174,"1",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",487.7228916,303.8795181,254.4819277,305.6617896,157.5583823,107.3017584,216.1355241,111.4106006,75.87380099
"26","101_16",101,21,9,9,1,1,7,1,9,"art","neut",16,1,101,FALSE,601,46,2527,"Up","n","Did the man do this in public?","showed",7,6,"showed",7,6,3,3,"art",22,3,6,"e","Up","y","A man showed her his art",16,"Eng",1,"s","A man","A man","A man showed her his","correct","A man showed her his art in the street.",9,"neut",173,173,173,173,0,173,"0",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",368.0549451,259.5384615,224.3076923,221.9729394,136.1135398,93.80744963,156.9585707,96.24680703,66.33188376
"27","101_19",101,7,1,9,1,5,1,1,9,"pubic hair","taboo",19,1,101,FALSE,827,23,5212,"Down","n","¿La persona lo vio en el armario?","we",14,2,"we",14,2,4,4,"pubic hair",44,10,11,"e","Down","n","En el hostal we were staying at, I found a pubic hair",19,"CS",1,"s","En el hostal","En el hostal","En el hostal we were staying at, I found a","correct","En el hostal we were staying at, I found a pubic hair on the bed sheet.",16,"taboo",213,213,213,213,0,213,"0",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",487.7228916,303.8795181,254.4819277,305.6617896,157.5583823,107.3017584,216.1355241,111.4106006,75.87380099
"28","101_22",101,23,9,2,1,1,1,1,1,"obligations","neut",22,1,101,FALSE,651,22,5492,"Up","n","Was he prevented from going on a business trip?","said",9,4,"said",9,4,3,3,"obligations",19,11,5,"e","Down","n","His mom said that obligations",22,"Eng",1,"s","His mom","His mom","His mom said that","incorrect","His mom said that obligations prevented him from going to the trip.",12,"neut",101,101,101,101,0,532,"0",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",368.0549451,259.5384615,224.3076923,221.9729394,136.1135398,93.80744963,156.9585707,96.24680703,66.33188376
"29","101_23",101,24,9,5,1,5,9,5,9,"erection","taboo",23,1,101,FALSE,768,14,1250,"Up","n","Did Carl turn around?","she",26,3,"she",26,3,5,5,"erection",44,8,9,"e","Up","y","When Carl turned around, she could see his erection",23,"Eng",1,"s","When Carl turned around,","When Carl turned around,","When Carl turned around, she could see his","correct","When Carl turned around, she could see his erection through his clothes.",12,"taboo",170,170,170,170,0,170,"0",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",408.3956044,298.2967033,245.021978,245.8860567,142.9286142,89.44308905,173.8676981,101.0657924,63.2458148
"30","101_24",101,8,5,3,1,1,5,1,9,"flour","neut",24,1,101,FALSE,852,18,3257,"Down","n","¿Estaba en el asiento del tren?","that",14,4,"that",14,4,3,3,"flour",29,5,6,"e","Down","n","Podría jurar that there was flour",24,"CS",1,"s","Podría jurar","Podría jurar","Podría jurar that there was","correct","Podría jurar that there was flour on the seat of the bus.",12,"neut",161,161,161,161,0,579,"0",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",394.1785714,272.9642857,231.797619,238.7911403,118.8763098,77.67398345,168.8508346,84.05824475,54.92380042
"31","101_25",101,9,1,9,1,9,7,5,9,"dildo","taboo",25,1,101,FALSE,805,77,9191,"Up","n","¿La mamá de María lo encontró en el espacio privado de María?","found",18,5,"found",18,5,5,5,"dildo",26,5,7,"e","Up","y","La mamá de María found a dildo",25,"CS",1,"s","La mamá de María","La mamá de María","La mamá de María found a","correct","La mamá de María found a dildo in her room.",10,"taboo",254,254,254,254,0,254,"0",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",487.7228916,303.8795181,254.4819277,305.6617896,157.5583823,107.3017584,216.1355241,111.4106006,75.87380099
"32","101_28",101,25,9,9,1,1,9,9,9,"mascara","neut",28,1,101,FALSE,774,9,1831,"Down","n","Did this happen after the gym?","she",20,3,"she",20,3,4,4,"mascara",39,7,8,"e","Down","n","After the meeting, she leaned and her mascara",28,"Eng",1,"s","After the meeting,","After the meeting,","After the meeting, she leaned and her","correct","After the meeting, she leaned and her mascara fell out of her bag.",13,"neut",0,295,295,1180,885,502,"1",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",368.0549451,259.5384615,224.3076923,221.9729394,136.1135398,93.80744963,156.9585707,96.24680703,66.33188376
"33","101_29",101,26,9,9,1,5,4,1,9,"menstruation","taboo",29,1,101,FALSE,597,52,2531,"Up","n","Did the aunts chat over coffee?","were",10,4,"were",10,4,3,3,"menstruation",30,12,6,"e","Up","y","My aunts were chatting about menstruation",29,"Eng",1,"s","My aunts","My aunts","My aunts were chatting about","correct","My aunts were chatting about menstruation while having coffee yesterday.",10,"taboo",241,241,241,241,0,241,"0",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",408.3956044,298.2967033,245.021978,245.8860567,142.9286142,89.44308905,173.8676981,101.0657924,63.2458148
"34","101_30",101,10,9,9,1,1,9,9,9,"motorcycle","neut",30,1,101,FALSE,783,20,2139,"Up","n","¿Estaba en una relación cuando la recibió?","gave",13,4,"gave",13,4,4,4,"motorcycle",24,10,7,"e","Up","y","Su ex novia gave him a motorcycle",30,"CS",1,"s","Su ex novia","Su ex novia","Su ex novia gave him a","correct","Su ex novia gave him a motorcycle in college.",9,"neut",198,198,198,198,0,226,"0",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",394.1785714,272.9642857,231.797619,238.7911403,118.8763098,77.67398345,168.8508346,84.05824475,54.92380042
"35","101_31",101,11,1,5,1,5,5,1,9,"testicles","taboo",31,1,101,FALSE,878,22,4963,"Down","n","¿Los examinaron en la consulta del doctor?","they",20,4,"they",20,4,5,5,"testicles",38,9,8,"e","Down","n","Hoy en el colegio, they examined the testicles",31,"CS",1,"s","Hoy en el colegio,","Hoy en el colegio,","Hoy en el colegio, they examined the","correct","Hoy en el colegio, they examined the testicles of the children at the annual health checkup.",16,"taboo",293,293,293,293,0,942,"0",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",487.7228916,303.8795181,254.4819277,305.6617896,157.5583823,107.3017584,216.1355241,111.4106006,75.87380099
"36","101_34",101,27,9,9,1,1,1,1,7,"speeches","neut",34,1,101,FALSE,627,53,2308,"Up","n","Did she read advice online?","some",11,4,"some",11,4,3,3,"speeches",33,8,7,"e","Up","y","I've read some advice on giving speeches",34,"Eng",1,"s","I've read","I've read","I've read some advice on giving","correct","I've read some advice on giving speeches on the internet.",10,"neut",90,90,90,244,154,90,"1",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",368.0549451,259.5384615,224.3076923,221.9729394,136.1135398,93.80744963,156.9585707,96.24680703,66.33188376
"37","101_36",101,12,9,9,1,1,9,1,9,"girls","neut",36,1,101,FALSE,720,87,2080,"Down","n","¿Estaban frente al cine?","there",19,5,"there",19,5,5,5,"girls",39,5,10,"e","Down","n","Mi amigo dijo que there were a lot of girls",36,"CS",1,"s","Mi amigo dijo que","Mi amigo dijo que","Mi amigo dijo que there were a lot of","correct","Mi amigo dijo que there were a lot of girls in front of the club last night.",17,"neut",160,160,160,160,0,160,"0",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",394.1785714,272.9642857,231.797619,238.7911403,118.8763098,77.67398345,168.8508346,84.05824475,54.92380042
"38","101_37",101,13,9,9,1,9,7,5,9,"handjob","taboo",37,1,101,FALSE,748,69,2566,"Down","y","¿Ocurrió esto en la calle?","heard",20,5,"I heard",18,7,4,5,"handjob",50,7,11,"e","Down","n","La semana pasada I heard that Angela gave Juan a handjob",37,"CS",1,"s","La semana pasada I","La semana pasada","La semana pasada I heard that Angela gave Juan a","correct","La semana pasada I heard that Angela gave Juan a handjob in the park.",14,"taboo",236,236,236,236,0,236,"0",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",487.7228916,303.8795181,254.4819277,305.6617896,157.5583823,107.3017584,216.1355241,111.4106006,75.87380099
"39","101_4",101,17,9,9,1,1,9,1,9,"clap","neut",4,1,101,FALSE,663,44,4208,"Up","y","Did he hear this yesterday?","heard",14,5,"I heard",12,7,3,4,"clap",22,4,6,"e","Up","y","Last night I heard a clap",4,"Eng",1,"s","Last night I","Last night","Last night I heard a","correct","Last night I heard a clap from the neighbor's apartment.",10,"neut",186,186,186,186,0,186,"0",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",368.0549451,259.5384615,224.3076923,221.9729394,136.1135398,93.80744963,156.9585707,96.24680703,66.33188376
"40","101_43",101,15,1,5,1,9,4,5,9,"cock","taboo",43,1,101,FALSE,811,39,1627,"Up","n","¿Fueron a una cita?","that",10,4,"that",10,4,3,3,"cock",24,4,7,"e","Up","y","No sabía that he had a cock",43,"CS",1,"s","No sabía","No sabía","No sabía that he had a","correct","No sabía that he had a cock that big until we went on a date.",15,"taboo",246,246,246,246,0,246,"0",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",487.7228916,303.8795181,254.4819277,305.6617896,157.5583823,107.3017584,216.1355241,111.4106006,75.87380099
"41","101_46",101,31,1,1,1,1,5,1,5,"plasma","neut",46,1,101,FALSE,629,38,1942,"Down","y","Was he rich after university?","donated",19,7,"he donated",16,10,3,4,"plasma",27,6,5,"e","Down","n","After college, he donated plasma",46,"Eng",1,"s","After college, he","After college,","After college, he donated","correct","After college, he donated plasma to make some extra cash.",10,"neut",0,166,431,431,0,431,"0",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",368.0549451,259.5384615,224.3076923,221.9729394,136.1135398,93.80744963,156.9585707,96.24680703,66.33188376
"42","101_48",101,16,9,9,1,1,9,9,9,"airplane","neut",48,1,101,FALSE,917,24,2972,"Down","n","¿Salió del coche?","and",20,3,"and",20,3,4,4,"airplane",41,8,7,"e","Down","n","Salió del edificio and started yelling \airplane\""""",48,"CS",1,"s","Salió del edificio","Salió del edificio","Salió del edificio and started yelling","correct","Salió del edificio and started yelling \airplane\"" in the middle of a busy street.""",14,"neut",0,272,480,480,0,480,"0",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",394.1785714,272.9642857,231.797619,238.7911403,118.8763098,77.67398345,168.8508346,84.05824475,54.92380042
"43","101_5",101,18,5,9,1,1,9,5,9,"penises","taboo",5,1,101,FALSE,656,35,2815,"Up","n","Was there a lot of them?","pointed",23,7,"pointed",23,7,5,5,"penises",70,7,13,"e","Up","y","The museum tour guide pointed out how his paintings were filled with penises",5,"Eng",1,"s","The museum tour guide","The museum tour guide","The museum tour guide pointed out how his paintings were filled with","correct","The museum tour guide pointed out how his paintings were filled with penises at the beginning of his career.",19,"taboo",283,283,283,283,0,283,"0",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",408.3956044,298.2967033,245.021978,245.8860567,142.9286142,89.44308905,173.8676981,101.0657924,63.2458148
"44","101_6",101,2,9,9,1,1,9,1,5,"show","neut",6,1,101,FALSE,784,41,2875,"Down","y","¿Leyó sobre esto ayer?","read",16,4,"I read",14,6,3,4,"show",29,4,7,"e","Down","n","Esta mañana, I read about a show",6,"CS",1,"s","Esta mañana, I","Esta mañana,","Esta mañana, I read about a","correct","Esta mañana, I read about a show that happened yesterday in our city.",14,"neut",132,132,132,132,0,132,"0",1,"SCS2_E2",36,41,0.87804878,"High Sp Dom",394.1785714,272.9642857,231.797619,238.7911403,118.8763098,77.67398345,168.8508346,84.05824475,54.92380042
